computer,process_key,window_start,event_count,unique_images,unique_files,unique_extensions,unique_destination_ips,suspicious_path_count,file_activity_count,registry_activity_count,network_activity_count,event_1_count,event_3_count,event_7_count,event_11_count,event_12_count,event_13_count,event_23_count,event_26_count,label,technique_id,scenario,source
win-dc-228.attackrange.local,2808:<unknown process>,2021-03-04 14:08:00+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log
win-dc-228.attackrange.local,3816:<unknown process>,2021-03-04 14:08:00+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log
win-dc-228.attackrange.local,4524:<unknown process>,2021-03-04 13:53:20+00:00,3,1,0,0,2,0,0,0,3,0,3,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log
win-dc-228.attackrange.local,4764:<unknown process>,2021-03-04 14:08:00+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log
win-dc-228.attackrange.local,5828:<unknown process>,2021-03-04 14:07:55+00:00,3,1,0,0,2,0,0,0,3,0,3,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log
win-dc-228.attackrange.local,6232:<unknown process>,2021-03-04 14:07:45+00:00,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log
win-dc-228.attackrange.local,{5ABCFE62-8423-603E-0100-00000000AD01},2021-03-04 13:50:05+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log
win-dc-228.attackrange.local,{5ABCFE62-8423-603E-0100-00000000AD01},2021-03-04 13:54:00+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log
win-dc-228.attackrange.local,{5ABCFE62-8423-603E-0100-00000000AD01},2021-03-04 13:59:00+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log
win-dc-228.attackrange.local,{5ABCFE62-8423-603E-0100-00000000AD01},2021-03-04 14:00:05+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log
win-dc-228.attackrange.local,{5ABCFE62-8423-603E-0100-00000000AD01},2021-03-04 14:00:50+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log
win-dc-228.attackrange.local,{5ABCFE62-8423-603E-0100-00000000AD01},2021-03-04 14:02:50+00:00,2,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log
win-dc-228.attackrange.local,{5ABCFE62-8423-603E-0100-00000000AD01},2021-03-04 14:04:00+00:00,2,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,T1059.001,atomic_red_team,data\datasets\splunk_attack_data\datasets\attack_techniques\T1059.001\atomic_red_team\windows-sysmon.log
